Onderdeel;Handleiding;Tests;Savegames;Executable;Confidence;Volgende verificatie
Handleidinganalyse;Ja;Nog niet;Nog niet;Nog niet;100%;Gebruik als referentie bij alle technische verificatie.
Gameflow & UI-architectuur;Ja;Ja;Nog niet;Nog niet;95%;Exacte scherminventaris en interactiematrix afronden.
Savegame-structuur;Deels;Ja;Ja;Nog niet;72%;Binaire offsets, recordstructuren en checksums vaststellen.
Team Management;Ja;Ja;Ja;Nog niet;90%;Tactische opslag op byte- en objectniveau bevestigen.
Tactical Engine;Ja;Nog niet;Nog niet;Nog niet;90%;Exacte runtime-invloed op wedstrijdgebeurtenissen meten.
Training Engine;Ja;Ja;Ja;Nog niet;92%;Effectgroottes en ontwikkelingsformules reverse engineeren.
Player Engine;Ja;Ja;Ja;Nog niet;68%;Recordstructuur, dynamic rating en ontwikkeling exact bepalen.
Match Engine;Ja;Ja;Ja;Nog niet;62%;Gecontroleerde herhaalreeksen en event-/attributenrelaties uitvoeren.
Transfer & Contract Engine;Ja;Ja;Ja;Nog niet;75%;Volledige transfer afronden en AI-biedingslogica testen.
Staff & Delegation Engine;Ja;Nog niet;Nog niet;Nog niet;78%;Rapportkwaliteit en delegated decisions experimenteel vergelijken.
Finance & Banking Engine;Ja;Nog niet;Nog niet;Nog niet;68%;Gecontroleerde financiële saves en prijs-/attendance-experimenten uitvoeren.
Stadium Engine;Ja;Nog niet;Nog niet;Nog niet;72%;Projectstatus en geldstromen in saves lokaliseren.
Supporter Engine;Ja;Nog niet;Nog niet;Nog niet;58%;Prijs- en resultaatreeksen uitvoeren met gelijkblijvende omstandigheden.
Board & Reputation Engine;Ja;Nog niet;Nog niet;Nog niet;66%;Board confidence en manager rating over tijd meten.
Scouting Engine;Ja;Nog niet;Nog niet;Nog niet;65%;Twee scouts van verschillende kwaliteit op dezelfde speler testen.
Medical Engine;Ja;Nog niet;Nog niet;Nog niet;58%;Blessurestatussen en hersteltermijnen in savegames isoleren.
Competition Engine;Ja;Nog niet;Nog niet;Nog niet;50%;Competitieregels, planning en seizoensovergang technisch reconstrueren.
Executable-analyse;Nee;Nog niet;Nog niet;Deels;20%;Eerst save- en playerdatastructuren koppelen aan functies in UEFA2000b.exe.
